"","ID","t","LogN","Model"
"1",173,0,4.1552298754562,"Logistic"
"2",173,0.5,4.25881329580852,"Logistic"
"3",173,1,4.36497888704075,"Logistic"
"4",173,1.5,4.47379101845156,"Logistic"
"5",173,2,4.58531566395403,"Logistic"
"6",173,2.5,4.69962044207553,"Logistic"
"7",173,3,4.81677465695471,"Logistic"
"8",173,3.5,4.93684934036043,"Logistic"
"9",173,4,5.05991729475815,"Logistic"
"10",173,4.5,5.18605313744981,"Logistic"
"11",173,5,5.3153333458141,"Logistic"
"12",173,5.5,5.44783630367433,"Logistic"
"13",173,6,5.58364234882222,"Logistic"
"14",173,6.5,5.72283382172632,"Logistic"
"15",173,7,5.86549511545458,"Logistic"
"16",173,7.5,6.01171272684141,"Logistic"
"17",173,8,6.1615753089301,"Logistic"
"18",173,8.5,6.31517372472262,"Logistic"
"19",173,9,6.47260110226915,"Logistic"
"20",173,9.5,6.63395289113091,"Logistic"
"21",173,10,6.79932692025037,"Logistic"
"22",173,10.5,6.96882345726413,"Logistic"
"23",173,11,7.14254526929416,"Logistic"
"24",173,11.5,7.3205976852545,"Logistic"
"25",173,12,7.50308865971103,"Logistic"
"26",173,0,4.49596939711898,"Gompertz"
"27",173,0.5,4.51803627612912,"Gompertz"
"28",173,1,4.54688060887428,"Gompertz"
"29",173,1.5,4.58366894629805,"Gompertz"
"30",173,2,4.62953105609287,"Gompertz"
"31",173,2.5,4.6855070346212,"Gompertz"
"32",173,3,4.75249735910995,"Gompertz"
"33",173,3.5,4.83121952729856,"Gompertz"
"34",173,4,4.92217413806155,"Gompertz"
"35",173,4.5,5.02562225947875,"Gompertz"
"36",173,5,5.14157485989578,"Gompertz"
"37",173,5.5,5.26979407333876,"Gompertz"
"38",173,6,5.40980523000333,"Gompertz"
"39",173,6.5,5.56091796256291,"Gompertz"
"40",173,7,5.72225431902292,"Gompertz"
"41",173,7.5,5.89278166111306,"Gompertz"
"42",173,8,6.07134817045706,"Gompertz"
"43",173,8.5,6.25671897768019,"Gompertz"
"44",173,9,6.4476112232639,"Gompertz"
"45",173,9.5,6.64272670711784,"Gompertz"
"46",173,10,6.8407811471204,"Gompertz"
"47",173,10.5,7.04052941478877,"Gompertz"
"48",173,11,7.24078642760369,"Gompertz"
"49",173,11.5,7.44044363977248,"Gompertz"
"50",173,12,7.638481281031,"Gompertz"
"51",173,NA,NA,"Baranyi"
"52",173,NA,NA,"Buchanan"
"110",173,0,4.46495016625522,"Quadratic"
"210",173,0.5,4.49396769078581,"Quadratic"
"310",173,1,4.53217074481459,"Quadratic"
"410",173,1.5,4.57955932834158,"Quadratic"
"53",173,2,4.63613344136678,"Quadratic"
"61",173,2.5,4.70189308389018,"Quadratic"
"71",173,3,4.77683825591178,"Quadratic"
"81",173,3.5,4.86096895743159,"Quadratic"
"91",173,4,4.9542851884496,"Quadratic"
"101",173,4.5,5.05678694896581,"Quadratic"
"111",173,5,5.16847423898023,"Quadratic"
"121",173,5.5,5.28934705849285,"Quadratic"
"131",173,6,5.41940540750368,"Quadratic"
"141",173,6.5,5.55864928601271,"Quadratic"
"151",173,7,5.70707869401994,"Quadratic"
"161",173,7.5,5.86469363152538,"Quadratic"
"171",173,8,6.03149409852902,"Quadratic"
"181",173,8.5,6.20748009503086,"Quadratic"
"191",173,9,6.39265162103091,"Quadratic"
"201",173,9.5,6.58700867652916,"Quadratic"
"211",173,10,6.79055126152561,"Quadratic"
"221",173,10.5,7.00327937602027,"Quadratic"
"231",173,11,7.22519302001314,"Quadratic"
"241",173,11.5,7.4562921935042,"Quadratic"
"251",173,12,7.69657689649347,"Quadratic"
"112",173,0,4.51639536884174,"Polynomial"
"212",173,0.5,4.51533137377375,"Polynomial"
"311",173,1,4.53038881708299,"Polynomial"
"411",173,1.5,4.56092763812215,"Polynomial"
"54",173,2,4.60630777624391,"Polynomial"
"62",173,2.5,4.66588917080094,"Polynomial"
"72",173,3,4.73903176114592,"Polynomial"
"82",173,3.5,4.82509548663154,"Polynomial"
"92",173,4,4.92344028661047,"Polynomial"
"102",173,4.5,5.03342610043539,"Polynomial"
"113",173,5,5.15441286745898,"Polynomial"
"122",173,5.5,5.28576052703393,"Polynomial"
"132",173,6,5.4268290185129,"Polynomial"
"142",173,6.5,5.57697828124859,"Polynomial"
"152",173,7,5.73556825459367,"Polynomial"
"162",173,7.5,5.90195887790082,"Polynomial"
"172",173,8,6.07551009052272,"Polynomial"
"182",173,8.5,6.25558183181204,"Polynomial"
"192",173,9,6.44153404112148,"Polynomial"
"202",173,9.5,6.6327266578037,"Polynomial"
"213",173,10,6.8285196212114,"Polynomial"
"222",173,10.5,7.02827287069724,"Polynomial"
"232",173,11,7.2313463456139,"Polynomial"
"242",173,11.5,7.43709998531408,"Polynomial"
"252",173,12,7.64489372915044,"Polynomial"
"114",173,0,4.0450312717644,"Linear"
"214",173,0.5,4.18149929864073,"Linear"
"312",173,1,4.31796732551705,"Linear"
"412",173,1.5,4.45443535239338,"Linear"
"55",173,2,4.59090337926971,"Linear"
"63",173,2.5,4.72737140614603,"Linear"
"73",173,3,4.86383943302236,"Linear"
"83",173,3.5,5.00030745989869,"Linear"
"93",173,4,5.13677548677502,"Linear"
"103",173,4.5,5.27324351365134,"Linear"
"115",173,5,5.40971154052767,"Linear"
"123",173,5.5,5.546179567404,"Linear"
"133",173,6,5.68264759428032,"Linear"
"143",173,6.5,5.81911562115665,"Linear"
"153",173,7,5.95558364803298,"Linear"
"163",173,7.5,6.0920516749093,"Linear"
"173",173,8,6.22851970178563,"Linear"
"183",173,8.5,6.36498772866196,"Linear"
"193",173,9,6.50145575553828,"Linear"
"203",173,9.5,6.63792378241461,"Linear"
"215",173,10,6.77439180929094,"Linear"
"223",173,10.5,6.91085983616726,"Linear"
"233",173,11,7.04732786304359,"Linear"
"243",173,11.5,7.18379588991992,"Linear"
"253",173,12,7.32026391679624,"Linear"
