Year,Author,Title,Experiment/Investigation Number,Size of Island,Number of Speciess,Distance,Isolation,Terrestrial/Aquatic,Lab/In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,1,5.56,22,547.9393,1,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,2,4.02,17,308.3791,33,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,3,16.09,20,488.6511,14,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,4,5.07,25,550.5376,3,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,5,1.69,7,595.5376,4,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,6,29.9,12,651.8635,7,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,7,7.46,13,691.2395,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,8,8.3,9,721.7103,11,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,9,18.74,23,764.0841,14,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,10,55.13,10,826.2742,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,11,12.1,14,775.257,1,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,12,1.15,11,762.9011,3,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,13,16.96,11,826.1854,2,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,14,11.45,14,824.7833,4,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,15,2.93,13,768.4734,1,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,16,3.4,12,564.9252,10,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,17,3.59,10,515.4592,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,18,7.59,9,480.6796,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,19,1.38,13,400.2746,3,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,20,2.42,5,544.5077,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,21,3.08,15,428.575,5,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,22,26.69,16,563.9238,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,23,23.94,16,497.7317,11,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,24,3.55,13,598.7287,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,25,12.31,13,644.6132,5,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,26,2.31,11,671.5072,10,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,27,5.51,12,714.4124,4,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,28,53.19,14,780.6151,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,29,10.21,16,777.6563,14,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,30,1.42,5,760.7225,1,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,31,1.16,9,821.8314,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,32,26.76,14,836.9311,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,33,1.74,11,775.7463,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,34,11.87,18,775.8801,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,35,4.05,11,572.2108,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,36,48.68,17,559.2551,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,37,17.82,18,483.9553,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,38,8.16,9,521.8701,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,39,5.6,13,461.5317,0,Terrestrial,In-Situ
2017,Glassman et al,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale,40,3.05,19,325.4637,0,Terrestrial,In-Situ