Author,Year,Title
Li et al,2020,Island biogeography of soil bacteria and fungi: similar patterns  but different mechanisms
Chen et al,2020,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity
Juttner et al,2019,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands
Battes etal,2018,Species-area relationships for aquatic biota in several shallow lakes from the Fizeș Valley (Transylvania  Romania) 
Darcy et al,2018,Island biogeography of cryoconite hole bacteria in antarctica's Taylor Valley and around the world
Delgado-Baquerizo et al,2018,Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept
Davidson et al,2018,Microbial island biogeography: isolation shapes the life history characteristics but not diversity of root-symbiotic fungal communities
Glassman et al,2017,The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale
Varbiro et al,2017,Functional redundance modifies species-area relationship for freshwater phytoplankton
Duarte et al,2017,Taxa-area reationship of aquatic fungi on deciduous leaves
Kavaszos  C ,2016,Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of Lake MacLeod  North-Western Australia
Bolgovics et al,2016,Species-area relationship (SAR) for benthic diatoms: a study on aquatic islands
Grossman et al,2016,Molecular investigation of protistan diversity along an elevation transect of alpine lakes
Godon et al,2016,Vertebrate bacterial gut diversity: size also matters
Jean et al,2015,An equilibrium theory signature in the island biogeography of human parasites and pathogens
Zinger et al,2014,Bacterial taxa-area and distancy-decay relationships in marine environments
Cashdan  E,2014,Biogeography of Human Infectious Diseases: A Global Historical Analysis
Barberan and Casamayor,2014,A phylogenetic perspective on species diversity b-diversity and biogeography for the microbial world
Lepere et al,2013,Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems
Lanzen et al,2013,Surprising Prokaryotic and Eukaryotic Diversity  Community Structure and Biogeography of Ethiopian Soda Lakes
Rengefors et al,2012,Polar lakes may act as ecological islands to aquatic protists
Feinstein and Blackwood ,2012,Taxa–area relationship and neutral dynamics influence the diversity of fungal communities on senesced tree leaves
Stomp et al,2011,Large- scale biodiversity patterns in freshwater phytoplankton
Orrock et al,2011,Biogeographic and ecological regulation of disease: prevalence of sin nombre virus in island mice is related to island area  precipitation  and predator richness
Liang et al,2010,Taxa-Area Relationship (TAR) of Microbial Functional Genes with Long-Term Fertilization
Barberan and Casamayor,2010,Euxinic Freshwater Hypolimnia Promote BacterialEndemicity in Continental Areas
Peay et al,2007,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi
Van Der Gast et al,2006,Bacterial diversity is determined by volume in membrane bioreactors
Bell et al,2005,Larger islands house more bacterial taxa
Reche et al,2005,Does ecosytem size determine aquatic bacterial richness?
Van Der Gast et al,2005,Island size and bacterial diversity in an archipelago of engineering machines
Azovsky  A  I  ,2002,Size-dependent species–area relationships in benthos: is the world more diverse for microbes?
McCormick et al,1988,A Comparison of Protozoan  Algal  and Metazoan Colonization of Artificial Substrates of Differing Size
Wildman  H  G  ,1987,Fungal colonization of resources in soil — An island biogeographical approach
Henebry and Cairns,1980,The Effect of Island Size  Distance and Epicentre Maturity on Colonization in Freshwater Protozoan Communities
Patrick  R ,1967,The Effect of Invasion Rate  species pool  and size of area on the structure of the diatom community 