"area","Species_Rich","niches","migration","SimOrMod"
1,1,1,0.0315,"Solman"
2,1.48925,1.5,0.0315,"Solman"
3,1.94625,2,0.0315,"Solman"
4,2.26416666666667,2.33333333333333,0.0315,"Solman"
5,2.80625,3,0.0315,"Solman"
6,2.8765,3,0.0315,"Solman"
7,3.58375,4,0.0315,"Solman"
8,3.48575,3.75,0.0315,"Solman"
9,3.90366666666667,4.33333333333333,0.0315,"Solman"
10,4.05775,4.5,0.0315,"Solman"
11,4.93575,6,0.0315,"Solman"
12,4.27283333333333,4.66666666666667,0.0315,"Solman"
13,5.54275,7,0.0315,"Solman"
14,5.094375,6,0.0315,"Solman"
15,5.163125,6,0.0315,"Solman"
16,5.3207,6.2,0.0315,"Solman"
17,6.62975,9,0.0315,"Solman"
18,5.58141666666667,6.5,0.0315,"Solman"
19,7.17775,10,0.0315,"Solman"
20,5.91091666666667,7,0.0315,"Solman"
22,5.873,6.5,0.0315,"Solman"
24,5.70066666666667,5.83333333333333,0.0315,"Solman"
26,6.59725,7.5,0.0315,"Solman"
28,6.33225,6.75,0.0315,"Solman"
30,6.51266666666667,6.83333333333333,0.0315,"Solman"
32,6.87475,7.5,0.0315,"Solman"
34,7.8555,9.5,0.0315,"Solman"
36,7.23292857142857,7.71428571428571,0.0315,"Solman"
38,8.36875,10.5,0.0315,"Solman"
40,7.61741666666667,8.16666666666667,0.0315,"Solman"
21,5.0925,5,0.0315,"Solman"
27,5.9365,6,0.0315,"Solman"
33,6.81025,7,0.0315,"Solman"
39,7.51825,8,0.0315,"Solman"
42,7.488,7.5,0.0315,"Solman"
45,7.85825,8,0.0315,"Solman"
48,8.06758333333333,8.16666666666667,0.0315,"Solman"
51,8.8985,10,0.0315,"Solman"
54,8.668625,9,0.0315,"Solman"
57,9.516,11,0.0315,"Solman"
60,9.1055625,9.375,0.0315,"Solman"
44,7.65825,7.5,0.0315,"Solman"
52,8.4045,8.5,0.0315,"Solman"
56,8.5305,8.25,0.0315,"Solman"
64,9.2425,9.33333333333333,0.0315,"Solman"
68,9.91075,10.5,0.0315,"Solman"
72,9.72833333333333,9.5,0.0315,"Solman"
76,10.58375,11.5,0.0315,"Solman"
80,10.4111666666667,10.5,0.0315,"Solman"
25,5.3285,5,0.0315,"Solman"
35,6.50125,6,0.0315,"Solman"
50,7.907,7.5,0.0315,"Solman"
55,8.37675,8,0.0315,"Solman"
65,9.2195,9,0.0315,"Solman"
70,9.485625,9,0.0315,"Solman"
75,10.0385,10,0.0315,"Solman"
85,10.81025,11,0.0315,"Solman"
90,10.8615833333333,10.5,0.0315,"Solman"
95,11.4635,12,0.0315,"Solman"
100,11.5868333333333,11.6666666666667,0.0315,"Solman"
66,9.11625,8.5,0.0315,"Solman"
78,10.0435,9.5,0.0315,"Solman"
84,10.343,9.75,0.0315,"Solman"
96,11.10675,10.5,0.0315,"Solman"
102,11.61275,11.5,0.0315,"Solman"
108,11.79275,11.25,0.0315,"Solman"
114,12.3185,12.5,0.0315,"Solman"
120,12.40975,11.8333333333333,0.0315,"Solman"
49,7.738,7,0.0315,"Solman"
63,8.79925,8,0.0315,"Solman"
77,9.74975,9,0.0315,"Solman"
91,10.69875,10,0.0315,"Solman"
98,11.165,10.5,0.0315,"Solman"
105,11.58575,11,0.0315,"Solman"
112,11.9725,11.25,0.0315,"Solman"
119,12.4075,12,0.0315,"Solman"
126,12.67675,12,0.0315,"Solman"
133,13.10425,13,0.0315,"Solman"
140,13.339875,12.75,0.0315,"Solman"
88,10.431,9.5,0.0315,"Solman"
104,11.4205,10.5,0.0315,"Solman"
128,12.7525,12,0.0315,"Solman"
136,13.1975,12.5,0.0315,"Solman"
144,13.4524,12.6,0.0315,"Solman"
152,13.92875,13.5,0.0315,"Solman"
160,14.186,13.5,0.0315,"Solman"
81,9.971,9,0.0315,"Solman"
99,11.0715,10,0.0315,"Solman"
117,12.05225,11,0.0315,"Solman"
135,12.91075,12,0.0315,"Solman"
153,13.867,13,0.0315,"Solman"
162,14.31175,13.5,0.0315,"Solman"
171,14.6565,14,0.0315,"Solman"
180,14.9105,14,0.0315,"Solman"
110,11.6125,10.5,0.0315,"Solman"
130,12.6475,11.5,0.0315,"Solman"
150,13.6355,12.5,0.0315,"Solman"
170,14.467,13.5,0.0315,"Solman"
190,15.3685,14.5,0.0315,"Solman"
200,15.72675,15,0.0315,"Solman"
121,12.1955,11,0.0315,"Solman"
132,12.79,11.5,0.0315,"Solman"
143,13.1925,12,0.0315,"Solman"
154,13.76925,12.5,0.0315,"Solman"
165,14.27375,13,0.0315,"Solman"
176,14.6805,13.5,0.0315,"Solman"
187,15.15075,14,0.0315,"Solman"
198,15.59375,14.5,0.0315,"Solman"
209,15.97525,15,0.0315,"Solman"
220,16.41225,15.5,0.0315,"Solman"
156,13.8735,12.5,0.0315,"Solman"
168,14.3155,13,0.0315,"Solman"
192,15.2195,14,0.0315,"Solman"
204,15.751,14.5,0.0315,"Solman"
216,16.146,15,0.0315,"Solman"
228,16.6485,15.5,0.0315,"Solman"
240,17.00725,15.75,0.0315,"Solman"
169,14.3225,13,0.0315,"Solman"
182,14.9045,13.5,0.0315,"Solman"
195,15.40275,14,0.0315,"Solman"
208,15.8285,14.5,0.0315,"Solman"
221,16.3435,15,0.0315,"Solman"
234,16.77625,15.5,0.0315,"Solman"
247,17.1555,16,0.0315,"Solman"
260,17.6665,16.5,0.0315,"Solman"
196,15.4775,14,0.0315,"Solman"
210,15.90125,14.5,0.0315,"Solman"
224,16.353,15,0.0315,"Solman"
238,16.722,15.5,0.0315,"Solman"
252,17.30025,16,0.0315,"Solman"
266,17.74075,16.5,0.0315,"Solman"
280,18.13225,17,0.0315,"Solman"
225,16.4225,15,0.0315,"Solman"
255,17.388,16,0.0315,"Solman"
270,17.884,16.5,0.0315,"Solman"
285,18.267,17,0.0315,"Solman"
300,18.66525,17.5,0.0315,"Solman"
256,17.4225,16,0.0315,"Solman"
272,17.921,16.5,0.0315,"Solman"
288,18.32925,17,0.0315,"Solman"
304,18.83075,17.5,0.0315,"Solman"
320,19.32575,18,0.0315,"Solman"
289,18.358,17,0.0315,"Solman"
306,18.8715,17.5,0.0315,"Solman"
323,19.3515,18,0.0315,"Solman"
340,19.719,18.5,0.0315,"Solman"
324,19.4135,18,0.0315,"Solman"
342,19.78125,18.5,0.0315,"Solman"
360,20.21625,19,0.0315,"Solman"
361,20.199,19,0.0315,"Solman"
380,20.67725,19.5,0.0315,"Solman"
400,21.202,20,0.0315,"Solman"
